"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/7/2014 12:00:00 AM,122.0300,,"Hendrick Services","","","","","17708 46th Court N","","Loxahatchee","FL","33470","MON","Banners and signs",
7/15/2014 12:00:00 AM,20.0000,,"Supervisor of Elections","","","","","240 S. Military Trail","","West Palm Beach","FL","33415","MON","Voter data",
7/15/2014 12:00:00 AM,20.0000,,"Supervisor of Elections","","","","","240 S. Military Trail","","West Palm Beach","FL","33415","MON","Voter data",
7/16/2014 12:00:00 AM,22.0000,,"Supervisor of Elections","","","","","240 S. Military Trail","","West Palm Beach","FL","33415","MON","Voter data",
7/16/2014 12:00:00 AM,370.0000,,"US Postal Service","","","","","3200 Summit Blvd","","West Palm Beach","FL","33416","MON","Postage",
7/16/2014 12:00:00 AM,13.1700,,"Godaddy","","","","","14455 North Hayden Road","Suite 219","Scottsdale","AZ","85260","CCP","Domain Name Registration",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/19/2014 12:00:00 AM,125.0500,,"US Postal Service","","","","","3200 Summit Blvd","","West Palm Beach","FL","33416","MON","Postage",
7/21/2014 12:00:00 AM,14.6000,,"US Postal Service","","","","","3200 Summit Blvd","","West Palm Beach","Fl","33416","MON","Postage",
7/22/2014 12:00:00 AM,16.2200,,"The Home Depot","","","","","220 S State Road 7","","West Palm Beach","FL","33414","MON","Hardware supplies",
7/24/2014 12:00:00 AM,36.8900,,"The UPS Store","","","","","1128 Royal Palm Beach Blvd","","Royal Palm Beach","FL","33411","MON","Shipping",
7/25/2014 12:00:00 AM,3.7900,,"US Postal Service","","","","","Royal Palm Beach Branch","","Royal P alm Beach","FL","33411","MON","Postage",
7/24/2014 12:00:00 AM,880.8700,,"Danwal Inc.","","","","","12404 HWY. 155 South","","Tyler","TX"," 75703 ","MON","Signs",
7/25/2014 12:00:00 AM,164.3000,,"The Art of Printing","","","","","1029 Florida Mango Suite 4","","West Palm Beach","FL","33409","MON","Printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/31/2014 12:00:00 AM,942.3400,,"Hendrick Services","","","","","17708 46th Court N","","Loxahatchee","FL","33470","MON","Signs and banners",
8/1/2014 12:00:00 AM,1208.0000,,"Town Crier","","","","","12794 W Forest Hill","","Wellington ","FL","33414","MON","Advertisement",
8/1/2014 12:00:00 AM,3.7900,,"US Postal Service","","","","","Royal Palm Beach Branch","","Royal Palm Beach","FL","33411","MON","Postage",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/6/2014 12:00:00 AM,417.6400,,"Hendrick Services","","","","","17708 46th Court N","","Loxahatchee","FL","33470","MON","Signs and banners",
8/2/2014 12:00:00 AM,3.7900,,"US Postal Service","","","","","Royal Palm Beach Branch","","Royal Palm Beach","FL","33411","MON","Postage",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/9/2014 12:00:00 AM,88.3500,,"The Home Depot","","","","","220 State Road 7","","West Palm Beach","FL","33414","MON","Supplies",
8/14/2014 12:00:00 AM,52.4900,,"Chevron","","","","","11711 Okeechobee Blvd","","Royal Palm Beach","FL","33411","MON","Fuel",
8/15/2014 12:00:00 AM,3.7900,,"US Postal Service","","","","","Palms West Branch","","Royal Palm Beach","FL","33411","MON","Postage",
8/16/2014 12:00:00 AM,98.0900,,"The Home Depot","","","","","220 State Road 7","","West Palm Beach","FL","33414","MON","Supplies",
