"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/18/2011 12:00:00 AM,64.0000,,"Main Post Office","","","","","Atlantic Ave. ","","Delray Beach","FL","334849998","CCP","PO Box and key deposit",
8/20/2011 12:00:00 AM,33.6800,,"","Margie","Joy","Walden","","6103 Caladium Road","","Delray Beach","FL","33484","REF","Office supplies",
9/5/2011 12:00:00 AM,150.0000,,"BSE Design & Communications","","","","","2250 Palm Beach Lakes Blvd.","","West Palm Beach ","FL","33409","MON","logo design",
9/5/2011 12:00:00 AM,329.3100,,"Preferred Printing & Graphics #2","","","","","791 Northlake Blvd.","","North Palm Beach","FL","33408","MON","remittance envelopes",
9/1/2011 12:00:00 AM,19.0000,,"Bank of America","","","","","7215 W. Atlantic Ave.","","Delray Beach","FL","33446","CCP","check stamp",
9/1/2011 12:00:00 AM,24.0000,,"Bank Of America","","","","","7215 W. Atlantic Ave. ","","Delray Beach","FL","33446","CCP","campaign checks",
9/12/2011 12:00:00 AM,400.0000,,"Democratic Party Headquarters","","","","","8401 Lake Worth Ave. ","","Lake Worth","FL","33467","MON","Journal Ad",
9/12/2011 12:00:00 AM,10.7000,,"Mary Lou Berger Campaign Account ","","","","","PO BOx 6758","","Delray Beach","FL","33482","CCP","stamps and envelopes",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/21/2011 12:00:00 AM,2000.0000,,"PBC Democratic Party","","","","","8401 Lake Worth Road","","Lake Worth","FL","33467","MON","PBC Dems Annual Dinner",
10/26/2011 12:00:00 AM,1638.0000,,"Dada","","","","","52 N. Swinton Ave.","","Delray Beach","FL","33444","CCP","Fundraiser",
10/26/2011 12:00:00 AM,175.0000,,"Boca-Delray Democratic Club","","","","","c/o Roz Gordon ","8856 Rheims Road","Boca Raton","FL","33496","MON","Boca-Delray Democratic Club Journal Ad",
10/26/2011 12:00:00 AM,125.0000,,"BSE Desing and Communication","","","","","2250 Palm Beach Lakes Blvd. ","","West Palm Beach","FL","33409","MON","Printing",
11/1/2011 12:00:00 AM,50.0000,,"BSE Design and Communications","","","","","2250 Palm Beach Lakes Blvd.","","West Palm Beach","FL","33409","MON","Printing",
11/8/2011 12:00:00 AM,55.0000,,"PBC Supervisor of Elections","","","","","240 South Military Trail","","West Palm beach","FL","33415","MON","Petition filing fee",
11/8/2011 12:00:00 AM,420.1200,,"Preferred printing & Graphics","","","","","791 Northlake Blvd. ","","North Palm Beach","FL","33408","MON","Printing",
11/8/2011 12:00:00 AM,344.5000,,"Union Printing","","","","","2321 Pembroke Road","","Hollywood","FL","33020","MON","Printing",
12/1/2011 12:00:00 AM,700.0000,,"ACE Productions","","","","","2140A Clarement Lane","","Tallahassee","FL","32301","MON","Web site design",
12/7/2011 12:00:00 AM,2987.7600,,"Patriot Games","","","","","120 S. Dixie Highway","","West Palm Beach","FL","33401","MON","Consulting and Stickers/buttons",
12/7/2011 12:00:00 AM,75.0000,,"BSE Design and Communications","","","","","2250 Palm Beach Lakes Blvd.","","West Palm Beach","FL","33409","MON","Artwork",
12/7/2011 12:00:00 AM,1605.0000,,"PBC Democratic party","","","","","8401 Lake Worth Ave.","","Lake Worth","FL","33467","MON","PBC Dems Annual Dinner",
12/16/2011 12:00:00 AM,500.0000,,"Caridad","","","","","8645 Boynton Beach Blvd.","","Boynton Beach","FL","33472","MON","Donation",
12/16/2011 12:00:00 AM,500.0000,,"RRJFS","","","","","21300 Ruth & Baron Coleman Blv","","Boca Raton","FL","33428","MON","Donation",
