"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
4/14/2015 12:00:00 AM,114.2600,,"HARLAND CLARKE CHECKING","","","","","15955 LA CANTERA PARKWAY","","SAN ANTONIO","TX","78256","MON","PRINT CHECKS",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
5/1/2015 12:00:00 AM,3000.0000,,"PATRIOT GRAMES","","","","","120 S DIXIE HWY","STE 202","WEST PALM BEACH","FL","33401","MON","CONSULTING FEES",
5/5/2015 12:00:00 AM,350.0000,,"MORRISON & SWANK PA","","","","","309 NE FIRST ST","","DELRAY BEACH","FL","33483","MON","ACCOUNTING FEES",
5/9/2015 12:00:00 AM,29.0000,,"NATIONBUILDER","","","","","520 S GRAND AVE","STE 200","LOS ANGELES","CA","90071","MON","ADVERTISING",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/1/2015 12:00:00 AM,16.7200,,"GIVENESS CARIBBEAN RESTAURANT","","","","","1459 S CONGRESS AVE","","DELRAY BEACH","FL","33445","MON","ENTERTAINMENT/FOOD",
6/8/2015 12:00:00 AM,300.0000,,"MORRISON & SWANK PA","","","","","309 NE First St","","Delray Beach","FL","33483","MON","ACCOUNTING FEES",
6/8/2015 12:00:00 AM,340.4200,,"PREFERRED PRINTING & GRAPHICS","","","","","791 NORTHLAKE BLVD","","NORTH PALM BEACH","FL","33408","MON","ENVELOPE PRINTING",
6/12/2015 12:00:00 AM,21.3500,,"MANHATTAN TROPHY","","","","","1268 N MILITARY TRAIL"," ","WEST PALM BEACH","FL","33460","MON","NAME TAGS",
6/12/2015 12:00:00 AM,134.3900,,"GO DADDY ","","","","","14455 N HAYDEN RD","STE 219","SCOTTSDALE","AZ","85260","MON","DOMAINE NAME",
6/16/2015 12:00:00 AM,100.0000,,"AT&T","","","","","1862 OKEECHOBEE BLVD","","WEST PALM BEACH","FL","33409","MON","TELEPHONE",
