"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
3/17/2010 12:00:00 AM,68.0500,,"Bank Atlantic","","","","","100 North Congress Ave.","","Boynton Beach","FL","33426","MON","Check Order",
3/24/2010 12:00:00 AM,9.9700,,"Earthlink Inc.","","","","","PO Box 790216","","St. Louis","MO","63179","MON","Canpaign Website Hosting",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
4/6/2010 12:00:00 AM,6.1000,,"PayPal","","","","","2211 N. First Street","","San Jose","CA","95131","MON","PayPal Fee-M. Grosswald Contribution",
4/6/2010 12:00:00 AM,1.7500,,"PayPal","","","","","2211 N. First Street","","San Jose","CA","95131","MON","PayPal Fee-V. Sequenzia Contribution",
4/6/2010 12:00:00 AM,1.7500,,"PayPal","","","","","2211 N. First Street","","San Jose","CA","95131","MON","PayPal Fee-S.Killian Contribution",
4/7/2010 12:00:00 AM,49.7300,,"Budget Printing","","","","","4152 W. Blue Heron Blvd., #109","","Riviera Beach","FL","33404","MON","Business Cards",
4/12/2010 12:00:00 AM,415.2300,,"Budget Printing","","","","","4152 W. Blue Heron Blvd., #109","","Riviera Beach","FL","33404","MON","Envelopes and Palm Cards",
4/23/2010 12:00:00 AM,9.9700,,"Earthlink Inc.","","","","","PO Box 790216","","St. Louis","MO","63179","MON","Campaign Website Hosting",
4/23/2010 12:00:00 AM,0.5900,,"PayPal","","","","","2211 N. First Street","","San Jose","CA","95131","MON","PayPal Fee-Ronald Miller Contribution",
4/23/2010 12:00:00 AM,1.7500,,"PayPal","","","","","2211 N. First Street","","San Jose","CA","95131","MON","PayPal Fee- Pamela Turk Contribution",
4/23/2010 12:00:00 AM,3.2000,,"PayPal","","","","","2211 N. First Street","","San Jose","CA","95131","MON","PayPal Fee- Steven Sotoloff Contribution",
5/1/2010 12:00:00 AM,425.0000,,"BSE Design & Communications","","","","","2250 Palm Beach Lakes Blvd. ","Suite 106","West Palm Beach ","FL","33409","MON","Artwork/Layout for Logo, Business Cards ",
5/12/2010 12:00:00 AM,1.3400,,"PayPal","","","","","2211 N. First Street","","San Jose","CA","95131","MON","PayPal Fee- R. Sirkin Contribution",
5/12/2010 12:00:00 AM,1.7500,,"PayPal","","","","","2211 N. First Street","","San Jose","CA","95131","MON","PayPal Fee- Z. Gross Contribution",
5/14/2010 12:00:00 AM,495.0000,,"The Neighborhood News Publishers, Inc.","","","","","9602 NW 36th Manor","","Coral Springs","FL","33065","MON","Advertising- Neighborhood News",
5/24/2010 12:00:00 AM,50.0000,,"BSE Design & Communications","","","","","2250 Palm Beach Lakes Blvd.","Suite 106","West Palm Beach","FL","33409","MON","Artwork/Layout for Business Card Ad",
