"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
11/8/2007 12:00:00 AM,79.8800,,"U - Name It Printing","","","","","21000 Boca Rio Road","","Boca Raton","FL","33433","MON","Printing",
12/15/2007 12:00:00 AM,50.0000,,"Zeta Tau Omega - AKA","","","","","..................","","................","FL","..........","MON","luncheon",
12/18/2007 12:00:00 AM,35.0000,,"Democrtic Professional Council","","","","","...............","","West Palm Beach ","FL","..........","MON","luncheon",
11/13/2007 12:00:00 AM,70.0000,,"Lake Worth West Democratic Club","","","","","4725 West Lake Worth Road","","Greenacres","FL","33463","MON","luncheon",
12/7/2007 12:00:00 AM,20.0000,,"Jupiter Democratic Club","","","","","700 Uno Lago Drive ","","Juno Beach","FL","33408","MON","Holiday Dinner Activity",
12/11/2007 12:00:00 AM,50.0000,,"Suncoast Community HIgh School","","","","","600 West 28th Street","","Riviera Beach","FL","33404","MON","Student activity dinner",
12/5/2007 12:00:00 AM,18.0000,,"Wachovia Bank","","","","","1100 East Blue Heron Blvd","","Riviera Beach","FL","33404","MON","check printing fee",
12/20/2007 12:00:00 AM,150.0000,,"PBC Caucus of Black Elected Officals","","","","","P.O. Box 10624","","Riviera Beach","FL","33404","MON","member fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
3/3/2008 12:00:00 AM,16.4000,,"U.S. Postal Service","","","","","East Blue Heron Blvd.","","Riviera Beach ","FL","33404","MON","Postal stamps",
1/14/2008 12:00:00 AM,100.0000,,"West Palm Beach Democratic Club","","","","","906 Lytle Street","","West Palm Beach","FL","33405","MON","Ad",
1/17/2008 12:00:00 AM,250.0000,,"MLK Committee/ City of Boynton Bch.","","","","","100 East Boynton Beach Blvd","","Boynton Beach ","FL","33435","MON","Event/ Dinner",
2/7/2008 12:00:00 AM,100.0000,,"Palm Beach County DEC","","","","","6266 South Congress Avenue","","Lantana","FL","33462","MON","Ad",
2/24/2008 12:00:00 AM,100.0000,,"Greater Bethel ","","","","","1340 West 30 th Street","","Riviera Beach","FL","33404","MON","Black History Donaton",
3/16/2008 12:00:00 AM,105.0000,,"UCO - United Civic Organization","","","","","2102 West Drive ","","West Palm Beach ","FL","33417","MON","Event",
3/17/2008 12:00:00 AM,15.0000,,"Mid County Democratic Club","","","","","2082 Tarpon Lake Way ","","West Palm Beach ","FL","33411","MON","Dues",
3/20/2008 12:00:00 AM,400.0000,,"","David","","Landfair","","3901 Heath Circle South","","West Palm Beach","FL","33417","MON","Community Outreach",
3/24/2008 12:00:00 AM,450.0000,,"","David ","","Landfair","","3901 Heath Circle South","","West Palm Beach ","FL","33417","MON","Community Outreach",
