"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
2/21/2008 12:00:00 AM,20.1000,,"Colonial Bank","","","","","140 N Federal Hwy","","Boca Raton","FL","33432","MON","Bank charge",
2/20/2008 12:00:00 AM,1055.4300,,"","Bob","","Calamia","","10334 Boca Springs Dr","","Boca Raton","FL","33428","MON","Website",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/3/2008 12:00:00 AM,1635.4000,,"PBC Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Filing fee",
7/7/2008 12:00:00 AM,10.0000,,"PBC Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Copies",
7/11/2008 12:00:00 AM,1585.0000,,"","Lisa","","Mark","","1000 Holland Drive Bay 1","","Boca Raton","FL","33487","MON","T-Shirst, printing and signs",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/28/2008 12:00:00 AM,13.7500,,"PBC Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Labels",
7/28/2008 12:00:00 AM,2500.0000,,"Harvard Consulting","","","","","3901 S Flagler Drive #903","","West Palm Beach","FL","33405","MON","Campaign consulting",
7/26/2008 12:00:00 AM,1500.0000,,"Lisa Mark d/b/a Mark Graphics","","","","","1000 Holland Drive Bay 1","","Boca Raton","FL","33487","MON","Printing",
8/1/2008 12:00:00 AM,1000.0000,,"With Care Services","","","","","10334 Boca Springs Dr","","Boca Raton","FL","33428","MON","Placement of Signs",
8/1/2008 12:00:00 AM,0.0800,,"PBC Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Filing fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/15/2008 12:00:00 AM,4000.0000,,"Lisa Mark d/b/a Mark Graphics","","","","","1000 Holland Drive Bay 1","","Boca Raton","FL","33487","MON","Printing",
8/16/2008 12:00:00 AM,1000.0000,,"With Care Services","","","","","10334 Boca Springs Dr","","Boca Raton","FL","33428","MON","Signs",
8/4/2008 12:00:00 AM,1788.9600,,"Lisa Mark d/b/a Mark Graphics","","","","","1000 Holland Drive Bay 1","","Boca Raton","FL","33487","MON","Printing",
8/20/2008 12:00:00 AM,8570.0000,,"Lisa Mark d/b/a Mark Graphics","","","","","1000 Holland Drive Bay 1","","Boca Raton","FL","33487","MON","Printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/22/2008 12:00:00 AM,200.0000,,"","Mark","","Hansen","","PO Box 1202","","Boca Raton","FL","33429","PCW","campaign workers",
9/4/2008 12:00:00 AM,1391.7000,,"TargetVote.com Inc","","","","","PO Box 1655","","Tallahassee","FL","32302-1655","MON","Telephone campaign",
8/25/2008 12:00:00 AM,57.0000,,"PBC Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Mailing labels",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/26/2008 12:00:00 AM,2094.7300,,"Artype","","","","","3530 Work Drive","","Fort Meyers","FL","33916","MON","Signs",
