"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/1/2015 12:00:00 AM,36.3200,,"Piryx, Inc.","","","","","144 2nd Street","","San Francisco","CA","94015","MON","Online Processing Fee",
6/2/2015 12:00:00 AM,60.9800,,"Piryx, Inc","","","","","144 2nd Street","","San Francisco","CA","94105","MON","Online Processing Fee",
6/3/2015 12:00:00 AM,6.0500,,"Piryx, Inc.","","","","","144 2nd Street","","San Francisco","CA","94015","MON","Online Processing Fee",
6/4/2015 12:00:00 AM,6.0500,,"Piryx, Inc.","","","","","144 2nd Street","","San Francisco","CA","94105","MON","Online Processing Fee",
6/5/2015 12:00:00 AM,86.8500,,"Piryx, Inc.","","","","","144 2nd Street","","San Francisco","CA","94105","MON","Online Processing Fee",
6/9/2015 12:00:00 AM,29.0500,,"Piryx, Inc.","","","","","144 2nd Street","","San Francisco","CA","94105","MON","Online Processing Fee",
6/10/2015 12:00:00 AM,29.0500,,"Piryx, Inc.","","","","","144 2nd Street","","San Francisco","CA","94105","MON","Online Processing Fee",
6/15/2015 12:00:00 AM,109.3900,,"Hartland Clarke Checks","","","","","15955 La Cantera Parkway","","San Antonio","TX","78259","MON","Checks & Deposit Slip Order",
6/19/2015 12:00:00 AM,6.0500,,"Piryx, Inc","","","","","144 2nd St","","San Francisco","CA","94105","MON","Online Processing Fee",
6/25/2015 12:00:00 AM,17.8600,,"Piryx, Inc","","","","","144 2nd St","","San Fransico","CA","94105","MON","Online Processing Fee",
6/30/2015 12:00:00 AM,14.6800,,"Piryx, Inc","","","","","144 2nd St","","San Francisco","FL","94105","MON","Online Processing Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/9/2015 12:00:00 AM,12.1000,,"Piryx, Inc","","","","","144 2nd St","","San Francisco","CA","94105","MON","Online Processing Fee",
7/22/2015 12:00:00 AM,14.6800,,"Piryx, Inc","","","","","144 2nd St","","San Francisco","CA","94105","MON","Online Processing Fee",
7/28/2015 12:00:00 AM,105.6800,,"Piryx, Inc","","","","","144 2nd St","","San Francisco","CA","94105","MON","Online Processing Fee",
7/31/2015 12:00:00 AM,3500.0000,,"","Daryl","","Glenney","","2773 S Ocean Blvd","","Palm Beach","FL","33480","MON","Campaign Management Services",
7/30/2015 12:00:00 AM,77.7000,,"Piryx, Inc","","","","","144 2nd St","","San Francisco","CA","94105","MON","Online Processing Fee",
7/29/2015 12:00:00 AM,20.8500,,"Piryx, Inc","","","","","144 2nd St","","San Francisco","CA","94105","MON","Online Processing Fee",
7/31/2015 12:00:00 AM,18.4000,,"Piryx, Inc","","","","","144 2nd St","","San Francisco","CA","94105","MON","Online Processing Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/3/2015 12:00:00 AM,29.0500,,"Piryx, Inx","","","","","144 2nd st","","San Francisco","CA","94105","MON","Online Processing Fee",
8/17/2015 12:00:00 AM,6.0500,,"Piryx, Inc","","","","","144 2nd St","","San Francisco","CA","94105","MON","Online Processing Fee",
8/29/2015 12:00:00 AM,136.2900,,"Raise the Money, Inc","","","","","P.O. Box 26466","","Little Rock","AR","72221","MON","Online Processing Fee",
8/3/2015 12:00:00 AM,550.2800,,"Cornerstone Solutions Florida LLC","","","","","6917 Vista Parkway North","Suite 1","West Palm Beach","FL","33411","MON","Campaign Photo Shoot",
8/3/2015 12:00:00 AM,2870.1100,,"Cornerstone Solutions Florida LLC","","","","","6917 Vista Parkway N","Suite 1","West Palm Beach","FL","33411","MON","Graphic Design-Printing &Campaign Emails",
