"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
5/29/2015 12:00:00 AM,169.0800,,"Piryx, Inc.","","","","","144 2nd Street","","San Francisco","CA","94105","MON","Online Donation Processing Fee",
5/11/2015 12:00:00 AM,32.1000,,"Marathon Gas","","","","","4567 S. Congress Avenue","","Lake Worth","FL","33406","MON","Fuel",
5/11/2015 12:00:00 AM,136.2600,,"Okeechobee Steak House","","","","","2854 Okeechobee Blvd.","","West Palm Beach","FL","33409","MON","Campaign Meeting",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/28/2015 12:00:00 AM,450.0000,,"Economic Forum of Palm Beach County","","","","","P.O. Box 14834","","North Palm Beach","FL","33408","MON","Event Tickets",
7/17/2015 12:00:00 AM,1.4700,,"Raise The Money, Inc.","","","","","P.O. Box 26466","","Little Rock","AR","72221","MON","Online Donation Processing Fee",
7/23/2015 12:00:00 AM,1.4700,,"Raise The Money, Inc.","","","","","P.O. Box 26466","","Little Rock","AR","72221","MON","Online Donation Processing Fee",
7/31/2015 12:00:00 AM,1100.0000,,"Cornerstone Solutions","","","","","6917 Vista Parkway North","Suite 1","West Palm Beach","FL","33411","MON","Video/Photography Services",
7/10/2015 12:00:00 AM,336.7900,,"Cornerstone Solutions","","","","","6917 Vista Parkway North","Suite 1","West Palm Beach","FL","33411","MON","Event Expenses",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/5/2015 12:00:00 AM,1500.0000,,"COBWRA","","","","","P.O. Box 740814","","Boynton Beach","FL","33474","MON","Ad and Event Tickets",
8/14/2015 12:00:00 AM,25.0000,,"Chamber of Commerce of the Palm Beaches","","","","","401 N. Flagler Drive","","West Palm Beach","FL","33401","MON","Event Ticket",
8/14/2015 12:00:00 AM,45.0000,,"Forum Club of Palm Beach County","","","","","P.O. Box 14877","","North Palm Beach","FL","33408","MON","Event Ticket",
8/6/2015 12:00:00 AM,48.3500,,"Cornerstone Solutions","","","","","6917 Vista Parkway North","Suite 1","West Palm Beach","Fl","33411","MON","Event Expenses",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/14/2015 12:00:00 AM,5.1500,,"Raise The Money, Inc.","","","","","P.O. Box 26466","","Little Rock","AR","72221","MON","Online Donation Processing Fee",
9/9/2015 12:00:00 AM,30.0000,,"Economic Council of Palm Beach","","","","","218 Datura Street","","West Palm Beach","FL","33401","MON","Event Ticket",
9/2/2015 12:00:00 AM,250.0000,,"Palm Beach County Firefighters Benevolent Fund","","","","","2328 S. Congress Avenue","Suite 2C","West Palm Beach","FL","33406","MON","Contribution",
9/14/2015 12:00:00 AM,18.5700,,"Cornerstone Solutions","","","","","6917 Vista Parkway North","Suite 1","West Palm Beach","FL","33411","MON","Event Expense",
9/9/2015 12:00:00 AM,60.0000,,"Mary E. McKee VCB","","","","","2801 PGA Blvd.","#120","Palm Beach Gardens","FL","33410","MON","Contribution",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/1/2015 12:00:00 AM,8.2000,,"Piryx, Inc.","","","","","144 2nd Street","","San Francisco","CA","94105","MON","Online Donation Processing Fee",
10/1/2015 12:00:00 AM,66.0000,,"Schuler, Halvorson, Weisser and Zoeller PA","","","","","1615 Forum Place","Suite 4D","West Palm Beach","FL","33401","REF","Refund of Contribution",
