"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/18/2010 12:00:00 AM,1637.2800,,"Palm Beach Supervisor of Elections","","","","","240 South Military Trail","","West Palm beach","FL","33415","MON","Filing Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
4/28/2010 12:00:00 AM,32.2800,"ADD","Wachovia","","","","","8945 Hypoluxo Rd.","","Lake worth","FL","33467","MON","Check order",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/13/2010 12:00:00 AM,1264.6900,"ADD","Insta Signs","","","","","2703 So. Federal Hwy.","","Delray Beach","FL","33483","MON","Yard Signs",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/31/2010 12:00:00 AM,770.2400,,"TargetVote.com, Inc.","","","","","P.O. Box 1655","","Tallahassee","FL","32302-1655","MON","Prerecorded Messages",
8/26/2010 12:00:00 AM,702.9800,,"","Steven","","Ledewitz","","7411 Hearth Stone Ave.","","Boynton Beach","FL","33472","MON","Reimburse Loan for ads.",
8/24/2010 12:00:00 AM,72.9500,,"Budget Printing","","","","","4152 Blue Heron Blvd.","#109","Riviera Beach","FL","33404","MON","Business Cards",
9/14/2010 12:00:00 AM,689.5800,,"","Steve","","Ledewitz","","7411 Hearth Stone Ave","","Boynton Beach","FL","33472","MON","Repayment of Loan",
