"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
4/20/2012 12:00:00 AM,5371.2000,,"Palm Beach County","","","","","240 South Military Trail","","West Palm Beach","FL","33416","MON","Filing Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/9/2012 12:00:00 AM,310.1100,,"Prefered Printing","","","","","2605 Old Okeechobee Road","","West Palm Beach","FL","33409","MON","Advertising",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/2/2012 12:00:00 AM,2241.9000,,"ASAP Graphix","","","","","15895 93rd Street North","","West Palm Beach","FL","33412","MON","Advertising",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
5/31/2012 12:00:00 AM,17.0000,"ADD","Bank of America","","","","","625 North Flagler Drive","","West Palm Beach","FL","33401","MON","Bank Fee",
6/30/2012 12:00:00 AM,17.0000,"ADD","Bank Of America","","","","","625 Indian Road","","West Palm Beach","FL","33401","MON","Bank Fee",
6/26/2012 12:00:00 AM,40.0000,"ADD","Economic Counsel of Palm Beach","","","","","1555 Palm Beach Lakes Blvd","Suite 950","West Palm Beach","FL","33401","MON","Lunch",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/28/2012 12:00:00 AM,828.9200,"ADD","Prefered Printing","","","","","2605 Old Okeechobee Blvd","","West Palm Beach","FL","33409","MON","Advertising",
7/31/2012 12:00:00 AM,17.0000,"ADD","Bank Of America","","","","","625 North Flagler Drive","","West Palm Beach","FL","33401","MON","Bank Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/31/2012 12:00:00 AM,17.0000,,"Bank of America","","","","","625 North Flagler Drive","","West Palm Beach","FL","33401","MON","Bank Fee",
9/30/2012 12:00:00 AM,17.0000,,"Bank Of America","","","","","625 North Flagler Drive","","West Palm Beach","FL","33401","MON","Bank Fee",
10/31/2012 12:00:00 AM,17.0000,,"Bank Of America","","","","","625 North Flagler Drive","","West Palm Beach","FL","33401","MON","Bank Fee",
11/13/2012 12:00:00 AM,55.8700,,"","Kenneth ","","Lemoine","","1801 Indian Road, Suite 100","","West Palm Beach","FL","33401","MON","Loan Pay back",
