"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
5/23/2008 12:00:00 AM,25.0000,,"National City","","","","","2505 Woolbright Road","","Boynton Beach","FL","33426","MON","Bank checks",
6/17/2008 12:00:00 AM,1635.4000,,"Supervisor of Elections","","","","","240  S Military Trail","","West Palm Beach","FL","33415","DIS","Filing Fee-Supervisor of Elections",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/26/2008 12:00:00 AM,52.5900,,"Office Depot","","","","","Congress Avenue","","Boynton Beach","FL","33436","PCW","Printing expense",
8/1/2008 12:00:00 AM,0.0800,,"Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","additional filing fee to cover error",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/13/2008 12:00:00 AM,30.0000,,"Community Chatterlaine Chatterlines","","","","","P.O. Box 7481","","Delray Beach","FL","33484","MON","community newsletter",
8/12/2008 12:00:00 AM,556.4000,,"ASAP Graphix","","","","","15895 93rd St N","","Loxahatachee","FL","33470","CCP","Printing",
8/20/2008 12:00:00 AM,2553.8000,,"Palm Beach Post","","","","","P.O. Box 24700","","West Palm Beach","FL","33416","MON","Advertising",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/3/2008 12:00:00 AM,390.3100,,"FIA Card Services","","","","","P.O. Box 15019","","Wilmington","DE","19886","CCP"," FedExKinkos/Office Depot printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/27/2008 12:00:00 AM,312.7700,,"Kinkos Federal Express","","","","","2208 N Congress","","Boynton Beach","FL","33428","CCP","printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/12/2008 12:00:00 AM,144.8000,,"Fed Ex Kinkos","","","","","2208 N Congress","","Boynton Beach","FL","33426","CCP","Printing",
9/12/2008 12:00:00 AM,147.2000,,"Price Rite Company","","","","","8400 N University","","Tamarac","FL","33321","CCP","printing",
9/12/2008 12:00:00 AM,225.4000,,"Price Rite Company","","","","","8400 N University","","Tamarac","FL","33321","CCP","printing",
9/12/2008 12:00:00 AM,170.2000,,"Price Rite Company","","","","","8400 N University","","Tamarac","FL","33321","CCP","printing",
9/12/2008 12:00:00 AM,270.2500,,"Price Rite Company","","","","","8400 N University","","Tamarac","FL","33321","CCP","printing",
9/12/2008 12:00:00 AM,147.2000,,"Price Rite Company","","","","","8400 N University","","Tamarac","FL","33321","CCP","printing",
8/22/2008 12:00:00 AM,691.6000,,"Voice Broadcasting","","","","","1527 S Cooper ST","","Arlington","TX","76010","CCP","purchase of lists",
8/22/2008 12:00:00 AM,469.8000,,"Voice Broadcasting","","","","","1527 S Cooper ST","","Arlington","TX","76010","CCP","telephone calls",
8/24/2008 12:00:00 AM,6.9000,,"Voice Broadcasting","","","","","1527 S Cooper ST","","Arlington","TX","76010","CCP","telephone polling",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/5/2008 12:00:00 AM,95.3000,"ADD","Supervisor of Elections","","","","","Military and Southern complex","","West Palm Beach","FL","33416","MON","purchase of precinct lists",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
