"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/16/2014 12:00:00 AM,1472.8800,,"Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Qualification Fee",
6/19/2014 12:00:00 AM,0.5900,,"PayPal","","","","","2211 North First Street","","San Jose","CA","95131","MON","PayPal Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/26/2014 12:00:00 AM,4.9900,,"Vista Print","","","","","95 Hayden Ave","","Lexington","MA","02421","MON","Campaign Business Cards",
6/27/2014 12:00:00 AM,19.9800,,"MyDomain.com","","","","","10 Corporate Drive","Suite 300","Burlington","MA","01803","MON","Web Domains",
6/27/2014 12:00:00 AM,19.9800,,"MyDomain.com","","","","","10 Corporate Drive","Suite 300","Burlington","MA","01803","MON","More Web Domains",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/5/2014 12:00:00 AM,1.1700,,"PayPal","","","","","2211 North First Street","","San Jose","CA","95131","MON","PayPal Fee",
7/5/2014 12:00:00 AM,9.2400,,"CafePress","","","","","1850 Gateway Drive","Suite 300","San Mateo","CA","94404","MON","Bumper Sticker - Jonathan Engle",
7/5/2014 12:00:00 AM,9.2400,,"CafePress","","","","","1850 Gateway Drive","Suite 300","San Mateo","CA","94404","MON","Bumper Sticker - David Mech",
7/16/2014 12:00:00 AM,9.9900,,"MyDomain.com","","","","","10 Corporate Drive","Suite 300","Burlington","MA","01803","MON","Web Domains",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/26/2014 12:00:00 AM,1.7600,,"Microsoft Corporation","","","","","One Microsoft Way","","Redmond","WA","98052","MON","Microsoft Advertising",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/8/2014 12:00:00 AM,12.0000,,"Wells Fargo Bank","","","","","420 Montgomery Street","","San Francisco","CA","94104","MON","Monthly Account Service Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/25/2014 12:00:00 AM,4.4000,,"Microsoft Corporation","","","","","One Microsoft Way","","Redmond","WA","98052","MON","Microsoft Advertising",
8/27/2014 12:00:00 AM,2473.7800,,"","David","Benoit","Mech","","2901 Clint Moore Road #319","","Boca Raton","FL","33496","REF","2473.78",
