"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/17/2008 12:00:00 AM,25.0000,,"PBC Supervisor of Elections","","","","","240 S Military Trail","","West Palm Beach","FL","33415","MON","Qualifying Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/1/2008 12:00:00 AM,1651.9900,,"Print Pelican","","","","","1770 W 10th St","","Riviera Beach","FL","33404","MON","Bulk Mailing",
10/1/2008 12:00:00 AM,853.0000,,"Seabrease Publication","","","","","1102 W Indian Town Rd","","Jupiter","FL","33458","MON","Ad",
10/10/2008 12:00:00 AM,235.0000,,"BSE Graphic Design","","","","","2250 Palm Beach Lakes Blvd","","West Palm Beach","FL","33409","MON","Graphic Design",
10/10/2008 12:00:00 AM,2836.2000,,"Preferred Pinting & Graphics","","","","","791 Northlake Blvd","","North Palm Beach","FL","33408","MON","Printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/17/2008 12:00:00 AM,667.8000,,"Evelyn F Parkes","","","","","420 Clematis St","","West Palm Beach","FL","33401","MON","Postage - Reimbursement",
10/30/2008 12:00:00 AM,840.0000,,"US Post Office","","","","","650 Clematis St","","West Palm Beach","FL","33401","MON","Postage",
10/30/2008 12:00:00 AM,97.5000,,"PBC Supervisor of Elections","","","","","240 S Military Tr","","West Palm Beach","FL","33415","MON","Absentee Mailing Labels",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
11/3/2008 12:00:00 AM,936.4200,,"Artype, Inc","","","","","3530 Work Dr","","Ft Myers ","FL","33916","MON","Printing",
11/21/2008 12:00:00 AM,2.0900,,"SunTrust Bank","","","","","PO Box 622227","","Orlando ","FL","32862","MON","Bank Fee",
10/31/2008 12:00:00 AM,840.0000,,"US Post Office","","","","","650 Clematis St","","West Palm Beach","FL","33401","MON","Postage",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
