"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/16/2010 12:00:00 AM,3683.8400,,"PBC Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Qualifying Fee for District 6 Commission",
6/22/2010 12:00:00 AM,27.6800,,"Things Remebered","","","","","Wellington Green","10300 West Forrest Hill Blvd","Wellington","FL","33414","MON","Name Badge",
6/25/2010 12:00:00 AM,1500.0000,,"CARPENTER KLIMEK & ASSOCIATES, INC.","","","","","224 Datura Street, Suite 1114","","West Palm Beach","FL","33401","MON","Political Consulting, PR & Event Managem",
6/25/2010 12:00:00 AM,1500.0000,,"Anthem Communications","","","","","7738 BLAIRWOOD CIRCLE EAST","","LAKE WORTH","FL","33467","MON","Political Consulting, PR & Event Managem",
7/2/2010 12:00:00 AM,1000.0000,,"CARPENTER KLIMEK & ASSOCIATES, INC. ","","","","","224 Datura Street, Suite 1114","","West Palm Beach","FL","33401","MON","Political Consulting, PR & Event Managem",
7/2/2010 12:00:00 AM,1000.0000,,"Anthem Communications","","","","","7738 BLAIRWOOD CIRCLE EAST","","LAKE WORTH","FL","33467","MON","Political Consulting, PR & Event Managem",
7/8/2010 12:00:00 AM,139.2100,,"Budget Printing","","","","","4152 W. Blue Heron Blvd.","","Riviera Beach","FL","33404","MON","Printing: Bus. Cards, Brochures",
6/29/2010 12:00:00 AM,654.9800,,"Signs of Distinction","","","","","150 Business Parkway","Suite 1","Royal Palm Beac","FL","33411","MON","Campaign T Shirts",
7/9/2010 12:00:00 AM,139.7200,,"Budget Printing","","","","","4152 W. Blue Heron Blvd.","","Riviera Beach","FL","33404","MON","Printing/ Hand out cards",
7/1/2010 12:00:00 AM,402.7800,,"Expose Yourself","","","","","6033 NW 31 Ave","","Fort Lauderdale","FL","33309","MON","Campaign Banners",
7/16/2010 12:00:00 AM,23.5400,,"Pay Pal","","","","","1840 Embarcadero Rd. ","","Palo Alto","CA","94303 ","MON","PayPal Fees for Contributions",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/23/2010 12:00:00 AM,598.4800,,"Brown Brothers Consulting","","","","","4552 North San Andros","","West Palm Beach","FL","33411","MON","Sunscreen and Logo",
7/21/2010 12:00:00 AM,30.0000,,"Wellington Chamber of Commerce","","","","","12230 Forest Hill Blvd","Suite #183","Wellington","FL","33414","MON","Chamber Luncheon",
7/26/2010 12:00:00 AM,70.0000,,"PBC Supervisor Elections","","","","","240 S. Military Trail","","West Palm Beach","FL","33415","MON","Election CD",
7/26/2010 12:00:00 AM,5616.7100,,"Campaign Graphics","","","","","1530 SW 10th Street","","Ocala","FL","34471","MON","Campaign Signs",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/2/2010 12:00:00 AM,2000.0000,,"Anthem Communications","","","","","7738 Blairwood Circle East","","Lake Worth","FL","33467","MON","Political Campaign Management",
8/3/2010 12:00:00 AM,296.8000,,"Expose Yourself ","","","","","6033 NW 31 Avenue","","Ft. Lauderdale","FL","33309","MON","Camapign Signs",
8/6/2010 12:00:00 AM,1500.0000,,"Carpenter - Klimek & Associates","","","","","224 Datura Street","Suite 1114","West Palm Beach","FL","33401","MON","Political Camapign Management",
8/5/2010 12:00:00 AM,421.6200,,"Budget Printing","","","","","4152 W. Blue Heron Blvd #109","","Riviera Beach","FL","33404","MON","Printing",
8/3/2010 12:00:00 AM,128.3600,,"PNC Bank","","","","","4055 State Road 7 ","","Wellington","FL","33449","MON","Check Printing Fee",
8/3/2010 12:00:00 AM,42.0000,,"PNC Bank","","","","","4055 State Road 7 ","","Wellington","FL","33449","MON","Service Charge",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/16/2010 12:00:00 AM,46.8600,"ADD","Insta Sign","","","","","5800 N Federal Hwy","","Boca Raton","FL","33487","MON","Name Badges",
8/16/2010 12:00:00 AM,250.0000,"ADD","Friends of the NRA","","","","","c/o 809 North O Street","","Lake Worth","FL","33460","MON","Banquet Sponsorship",
8/16/2010 12:00:00 AM,45.8500,"ADD","PBC BCC","","","","","301 N. Olive Ave","","West Palm Beach","FL","33401","MON","Public Records Request",
8/19/2010 12:00:00 AM,20.0000,"ADD","Palms West Chamber of Commerce","","","","","13901 Southern Blvd","","Loxahatchee","FL","33470","MON","Luncheon",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/25/2010 12:00:00 AM,25.0000,,"Palms West Chamber of Commerce","","","","","13901 Southern Blvd","","Loxahatchee","FL","33470","MON","Luncheon",
8/20/2010 12:00:00 AM,223.6500,,"Budget Printing","","","","","4152 W Blue Heron Blvd","","Riviera Beach","FL","33404","MON","Printing",
8/20/2010 12:00:00 AM,182.0900,,"Budget Printing","","","","","4152 W Blue Heron Blvd","Suite 109","Riviera Beach","FL","33404","MON","Printing",
9/7/2010 12:00:00 AM,2500.0000,,"Anthem Communications","","","","","7738 Blairwood Circle East","","Lake Worth","FL","33467","MON","Politcal Consulting",
9/8/2010 12:00:00 AM,49.4900,,"PBC Board of County Commisssioners","","","","","301 N Olive Ave","","West Palm Beach ","FL","33401","MON","Public Records Request",
9/8/2010 12:00:00 AM,9.0000,,"PBC Clerk","","","","","301 N. Olive Ave","","West Palm Beach","FL","33401","MON","Public Records",
9/8/2010 12:00:00 AM,2000.0000,,"Carpenter -Klimek & Associates","","","","","224 Datura St Ste 1114 ","","West Palm Beach","FL","33401","MON","Political Consulting",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/14/2010 12:00:00 AM,138.4400,,"Office Depot","","","","","101A S State Road 7","","Wellington","FL","33414","MON","Printing",
9/13/2010 12:00:00 AM,8.2000,,"MAELSTROM TECHNO ","","","","","200 S. Executive Dr","Suite 101  "," Brookfield","WI","53005 ","MON","Credit Card Fees",
9/13/2010 12:00:00 AM,45.0000,,"Palms West CC","","","","","13901 Southern Blvd","","Loxahatchee","FL","33470","MON","Luncheon",
9/12/2010 12:00:00 AM,16.7500,,"Village of Royal Palm Beach","","","","","1050 Royal Palm Beach Boulevar","","Royal Palm Beach ","FL","33411","MON","Public Records",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/30/2010 12:00:00 AM,127.2700,,"Budget Printing","","","","","4152 Blue Heron Blvd W # 109 ","","West palm Beach","FL","33404","MON","Printing",
9/29/2010 12:00:00 AM,4000.0000,,"Laura Hanley","","","","","7535 Enterprise Dr","","West Palm Beach","FL"," 33404","MON","Campaign Consulting",
10/1/2010 12:00:00 AM,88.0000,,"US Postmaster","","","","","10299 Southern Blvd","","Royal Palm Beach","FL","33411","MON","Postage",
10/1/2010 12:00:00 AM,13081.4700,,"Cornerstone Solutions","","","","","6917 Vista Parkway North, Suit","","West Palm Beach","FL","33411","MON","Mailings",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/21/2010 12:00:00 AM,56.0000,"ADD","Belle Glade Chamber of Comm","","","","","540 Main Street","","Belle Glade","FL","33430","MON","Chamber of Commerce",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/12/2010 12:00:00 AM,4957.3100,,"Campaign Graphics","","","","","1503 SW 10 Street (Hwy. 200)","","Ocala","FL","34474","MON","Campaign Signs",
10/12/2010 12:00:00 AM,50.0000,,"Friends of Veterans","","","","","900 Osceola Drive","Suite 107A","West Palm Beach,","FL","33409","MON","Fund Raiser",
10/14/2010 12:00:00 AM,323.2400,,"Budget Printing","","","","","4152 W. Blue Heron Blvd","Suite 109","Riviera Beach","FL","33404","MON","Printing",
10/13/2010 12:00:00 AM,111.0800,,"Carpenter - Klimek & Associate","","","","","224 Datura St Ste 1114 ","","West Palm Beach","FL","33401","MON","Office Supplies",
10/16/2010 12:00:00 AM,196.0000,,"Delvek,Inc (US Pack and Ship)","","","","","1438 W Lantana Rd","","Lantana","FL","33462","MON","Postage",
10/14/2010 12:00:00 AM,2737.0000,,"WJNO Clear Channel","","","","","200 CONCORD PLAZA","Suite 600","San Antonio ","TX","78216","MON","Radio Advertising",
10/14/2010 12:00:00 AM,30.0000,,"Hoskins & Mc Dugold (FL Nursery Growers)","","","","","1533 Park Center Drive ","","Orlando","FL","32835","MON","Fund Raiser",
10/17/2010 12:00:00 AM,199.7500,,"Palms West Chamber of Commerce","","","","","13901 Southern Blvd","","Loxahatchee","FL","33470","MON","Fall Festival",
10/19/2010 12:00:00 AM,512.6300,,"International Polo","","","","","3667 120th Avenue South","","Wellington","FL","33414","MON","Schaller Fund Raiser",
10/19/2010 12:00:00 AM,1440.0000,,"Carpenter-Klimek & Assoc","","","","","224 Datura St Ste 1114 ","","West Palm Beach","FL","33401","MON","Political Consulting",
10/20/2010 12:00:00 AM,1020.0000,,"CBS Radio","","","","","40 West 57th Street","","New York","NY","10019","MON","Radio Advertising",
10/22/2010 12:00:00 AM,1250.0000,,"Anthem Communications","","","","","7738 Blairwood Circle East","","Lake Worth","FL","33467","MON","Political Consulting",
10/22/2010 12:00:00 AM,146.0300,,"Budget Printing","","","","","4152 W Blue Heron Blvd","","Riviera Beach","FL","33404","MON","Printing",
10/22/2010 12:00:00 AM,850.0400,,"Target Vote.com","","","","","POBox 1655","","Tallahassee","FL","32302","MON","Robo Calls",
10/22/2010 12:00:00 AM,264.0000,,"US Postmaster","","","","","10299 Southern Blvd","","Royal Palm Beach","FL","33414","MON","Postage",
10/25/2010 12:00:00 AM,578.0000,,"Clear Channel","","","","","200 East Basse Road","","San Antonio","TX","78209","MON","Radio Ads",
10/26/2010 12:00:00 AM,1208.0000,,"Town Crier","","","","","12794 W. Forest Hill Blvd.","","Wellington","FL","33414","MON","Newspaper Advertising",
10/26/2010 12:00:00 AM,400.0000,,"WBGF WSWN","","","","","557 Dr Martin Luther King Jr B","","Belle Glade","FL","33430","MON","Radio Advertising",
10/27/2010 12:00:00 AM,58.5000,,"Insta Sign","","","","","1140 Holland Dr Ste 8 Boca Rat","","Boca Raton","FL","33487","MON","Name Badges",
10/28/2010 12:00:00 AM,1521.0000,,"Automated Direct Mail","","","","","3892 Prospect Avenue","","Riviera Beach","FL","33404","MON","Mailer",
10/28/2010 12:00:00 AM,606.1300,,"Target Vote.com","","","","","PO Box 1655","","Tallahassee","FL","32302","MON","Robo Calls",
10/28/2010 12:00:00 AM,1730.8600,,"Budget Printing","","","","","4152 W Blue Heron Blvd",""," Riviera Beach ","FL","33404","MON","Printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/6/2010 12:00:00 AM,90.0000,"ADD","Wellington Chamber of Commerce","","","","","12230 Forest Hill Blvd.","Suite 183","Wellington","FL","33414","MON","Chamber Activities",
10/7/2010 12:00:00 AM,132.0000,"ADD","US Postmaster","","","","","10299 Souther Bvd","","Royal Palm Beach","FL","33411","MON","Postage",
