"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
12/21/2011 12:00:00 AM,23.9900,,"Fifth Third Bank","","","","","6426 Melaleuca Ln.","","Lake Worth","FL","33463","MON","Bank Charges",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
3/1/2012 12:00:00 AM,3000.0000,,"Immediacy Public Relations","","","","","1208 U.S. 1, Suite D","","North Palm Beach","FL","33408","MON","Consultant",
2/22/2012 12:00:00 AM,23.9900,,"Fifth Third Bank","","","","","6651 Lake Worth Road","","Lake Worth","FL","33467","MON","Bank Charges",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
5/30/2012 12:00:00 AM,44.7500,,"Supervisor of Elections","","","","","240 S. Military Trail","","West Palm Beach","FL","33415","MON","List of Voters District 2",
5/24/2012 12:00:00 AM,10.0000,,"Supervisor of Elections","","","","","240 S. Military Trail","","West Palm Beach","FL","33415","MON","Voter Information",
5/21/2012 12:00:00 AM,1472.8800,,"Supervisor of Elections","","","","","240 S. Military Trail","","West Palm Beach","FL","33415","MON","Filing Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/23/2012 12:00:00 AM,540.9500,,"Automated Direct Mail Service Center","","","","","3892 Prospect Ave.","Business Park One","Rivieria Beach","FL","33404-3348","MON","Printing",
7/30/2012 12:00:00 AM,27083.4400,,"","Charles","","Shaw","","2252 Soundings Ct.","","Greenacres","FL","33413","DIS","Repay Candidate Loans",
