"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
4/24/2014 12:00:00 AM,2000.0000,,"Rebecca Shelton","","","","","125 SE 1st Avenue","","Boynton Beach","FL","33435","MON","Monthly Consultant Fee",
4/23/2014 12:00:00 AM,185.5000,,"Rebecca Massimino Photography","","","","","9025 Tremezzo Lane","","Boynton Beach","FL","33472","MON","Photography",
4/15/2014 12:00:00 AM,414.0000,,"Online Candidate","","","","","PO Box 402","","Montgomery","NY","12549","MON","Website",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
5/13/2014 12:00:00 AM,79.1800,,"Magnets On The Cheap","","","","","11525B Stonehollow Drive","Suite 220","Austin","TX","78758","MON","Campaign Advertising - Magnets",
5/27/2014 12:00:00 AM,67.9500,,"Publix","","","","","1005 NW 22nd Avenue","","Boynton Beach","FL","33426","MON","Campaign Kickoff Party",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
5/6/2014 12:00:00 AM,1.7500,"ADD","PayPal","","","","","2211 North First Street","","San Jose","CA","95131","MON","Service Fee - PayPal",
5/13/2014 12:00:00 AM,21.6400,"ADD","Magnets On The Cheap","","","","","11525B Stonehollow Drive","Suite 220","Austin","TX","78758","MON","Campaign Advertising - Magnets",
5/20/2014 12:00:00 AM,2000.0000,"ADD","Rebecca Shelton","","","","","125 SE 1st Avenue","","Boynton Beach","FL","33435","MON","Monthly Consultant Fee`",
5/21/2014 12:00:00 AM,815.0000,"ADD","Mark Graphics","","","","","4230 Oak Circle","","Boca Raton","FL","33431","MON","Printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/10/2014 12:00:00 AM,159.0000,,"Budget Printing Center, LLC","","","","","4152 W. Blue Heron Blvd., #109","","Riviera Beach","FL","33404","MON","Logo Design",
6/11/2014 12:00:00 AM,1.0300,,"PayPal","","","","","2211 North First Street","","San Jose","CA","95131","MON","Service Fee - PayPal",
6/19/2014 12:00:00 AM,1472.8800,,"Palm Beach County Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Qualifying Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/8/2014 12:00:00 AM,10.0000,,"Palm Beach County Supervisor of Elections","","","","","240 South Military Trail  West","","West Palm Beach","FL","33415","MON","Voter List",
7/9/2014 12:00:00 AM,29.3000,,"PayPal","","","","","2211 North First Street","","San Jose","CA","95131","MON","Service Fee - PayPal",
7/16/2014 12:00:00 AM,3.2000,,"PayPal","","","","","2211 North First Street","","San Jose","CA","95131","MON","Service Fee - PayPal",
7/11/2014 12:00:00 AM,3.2000,,"PayPal","","","","","2211 North First Street","","San Jose","CA"," 95131","MON","Service Fee - PayPal",
7/9/2014 12:00:00 AM,3.5000,,"Palm Beach County Supervisor of Elections","","","","","240 South Military Trail  West","","West Palm Beach","FL","33415","MON","Voter List",
7/10/2014 12:00:00 AM,29.0000,,"Palm Beach County Supervisor of Elections","","","","","240 South Military Trail  West","","West Palm Beach","FL","33415","MON","District 4 Voter List",
